result_id;timestamp;survey_id;question_id;answer
adc4ab2f-2d74-4827-af63-e62ce9afb210;2026-07-06T12:08:47.776472Z;ask_alma_student_v1;q1;gar_nicht_nützlich
adc4ab2f-2d74-4827-af63-e62ce9afb210;2026-07-06T12:08:47.776472Z;ask_alma_student_v1;q10;t
adc4ab2f-2d74-4827-af63-e62ce9afb210;2026-07-06T12:08:47.776472Z;ask_alma_student_v1;q2;mehrmals_wöchentlich
adc4ab2f-2d74-4827-af63-e62ce9afb210;2026-07-06T12:08:47.776472Z;ask_alma_student_v1;q3;ete
adc4ab2f-2d74-4827-af63-e62ce9afb210;2026-07-06T12:08:47.776472Z;ask_alma_student_v1;q4;ja_etwas
adc4ab2f-2d74-4827-af63-e62ce9afb210;2026-07-06T12:08:47.776472Z;ask_alma_student_v1;q5;teilweise_intuitiv
adc4ab2f-2d74-4827-af63-e62ce9afb210;2026-07-06T12:08:47.776472Z;ask_alma_student_v1;q6;eher_nicht
adc4ab2f-2d74-4827-af63-e62ce9afb210;2026-07-06T12:08:47.776472Z;ask_alma_student_v1;q7;t
adc4ab2f-2d74-4827-af63-e62ce9afb210;2026-07-06T12:08:47.776472Z;ask_alma_student_v1;q8;oft
adc4ab2f-2d74-4827-af63-e62ce9afb210;2026-07-06T12:08:47.776472Z;ask_alma_student_v1;q9;zufrieden
4105c150-6dea-47a4-8376-caf7f94f2ae2;2026-07-08T17:34:49.334926Z;ask_alma_student_v1;q1;"[""wenig_nützlich""]"
4105c150-6dea-47a4-8376-caf7f94f2ae2;2026-07-08T17:34:49.334926Z;ask_alma_student_v1;q10;
4105c150-6dea-47a4-8376-caf7f94f2ae2;2026-07-08T17:34:49.334926Z;ask_alma_student_v1;q2;"[""mehrmals_wöchentlich""]"
4105c150-6dea-47a4-8376-caf7f94f2ae2;2026-07-08T17:34:49.334926Z;ask_alma_student_v1;q3;
4105c150-6dea-47a4-8376-caf7f94f2ae2;2026-07-08T17:34:49.334926Z;ask_alma_student_v1;q4;"[""ja_deutlich""]"
4105c150-6dea-47a4-8376-caf7f94f2ae2;2026-07-08T17:34:49.334926Z;ask_alma_student_v1;q5;"[""sehr_intuitiv""]"
4105c150-6dea-47a4-8376-caf7f94f2ae2;2026-07-08T17:34:49.334926Z;ask_alma_student_v1;q6;"[""auf_jeden_fall""]"
4105c150-6dea-47a4-8376-caf7f94f2ae2;2026-07-08T17:34:49.334926Z;ask_alma_student_v1;q7;test
4105c150-6dea-47a4-8376-caf7f94f2ae2;2026-07-08T17:34:49.334926Z;ask_alma_student_v1;q8;"[""selten""]"
4105c150-6dea-47a4-8376-caf7f94f2ae2;2026-07-08T17:34:49.334926Z;ask_alma_student_v1;q9;"[""sehr_zufrieden""]"
